X1,Y1,Z1,X2,Y2,Z2
684,354,105,658.174194,397.067902,34.644333
658.174194,397.067902,34.644333,610.5,411,63.75
610.5,411,63.75,606,415.5,56.25
606,415.5,56.25,565.5,477,63.75
565.5,477,63.75,546,468,86.25
546,468,86.25,538.5,490.5,30
546,468,86.25,574.5,510,135
574.5,510,135,551.330811,530.055603,151.808655
551.330811,530.055603,151.808655,571.5,562.5,213.75
571.5,562.5,213.75,519,574.5,142.5
519,574.5,142.5,513,559.5,157.5
513,559.5,157.5,454.5,535.5,135
454.5,535.5,135,417,523.5,97.5
417,523.5,97.5,403.5,549,63.75
403.5,549,63.75,397.5,540,30
403.5,549,63.75,435,637.5,30
417,523.5,97.5,409.5,514.5,93.75
409.5,514.5,93.75,411,507,78.75
411,507,78.75,480,487.5,90
480,487.5,90,478.5,483,33.75
480,487.5,90,487.5,484.5,86.25
487.5,484.5,86.25,543,547.5,56.25
543,547.5,56.25,538.5,555,30
543,547.5,56.25,561.055786,560.710876,119.877243
561.055786,560.710876,119.877243,482.182281,580.198181,118.186745
482.182281,580.198181,118.186745,465,588,146.25
465,588,146.25,496.5,624,142.5
496.5,624,142.5,519,574.5,142.5
496.5,624,142.5,523.5,655.5,138.75
523.5,655.5,138.75,516,667.5,112.5
516,667.5,112.5,511.59436,677.435852,50.399956
511.59436,677.435852,50.399956,517.5,699,60
517.5,699,60,505.5,750,45
505.5,750,45,465,735,30
505.5,750,45,513,780,30
517.5,699,60,538.5,693,93.75
538.5,693,93.75,558,684,93.75
538.5,693,93.75,537,690,101.25
537,690,101.25,532.5,687,116.25
532.5,687,116.25,537,690,101.25
532.5,687,116.25,514.5,676.5,120
514.5,676.5,120,516,667.5,112.5
514.5,676.5,120,475.5,678,131.25
523.5,655.5,138.75,540,660,157.5
540,660,157.5,583.5,637.5,153.75
583.5,637.5,153.75,574.5,625.5,86.25
574.5,625.5,86.25,597,601.5,56.25
597,601.5,56.25,597,588,30
597,601.5,56.25,607.5,601.5,63.75
574.5,625.5,86.25,564,631.5,82.5
583.5,637.5,153.75,594,646.5,142.5
594,646.5,142.5,580.5,669,120
580.5,669,120,564,661.5,112.5
